Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Domain,Domain Category,"CORN, GRAIN - ACRES HARVESTED  -  <b>VALUE</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>CV (%)</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>","CORN, GRAIN, IRRIGATED - ACRES HARVESTED  -  <b>VALUE</b>","CORN, GRAIN, IRRIGATED - ACRES HARVESTED  -  <b>CV (%)</b>"
CENSUS,2017,YEAR,NA,COUNTY,INDIANA,18,CENTRAL,50,BARTHOLOMEW,5,NA,NA,0,NA,CORN,TOTAL,NOT SPECIFIED,"56,473",25.2,NA,NA,"8,062",28.6
CENSUS,2017,YEAR,NA,COUNTY,INDIANA,18,CENTRAL,50,BOONE,11,NA,NA,0,NA,CORN,TOTAL,NOT SPECIFIED,"92,504",25.2,NA,NA,NA,NA
CENSUS,2017,YEAR,NA,COUNTY,INDIANA,18,CENTRAL,50,CLINTON,23,NA,NA,0,NA,CORN,TOTAL,NOT SPECIFIED,"110,973",25.2,NA,NA,NA,NA
CENSUS,2017,YEAR,NA,COUNTY,INDIANA,18,CENTRAL,50,DECATUR,31,NA,NA,0,NA,CORN,TOTAL,NOT SPECIFIED,"75,236",25.2,NA,NA,NA,NA
CENSUS,2017,YEAR,NA,COUNTY,INDIANA,18,CENTRAL,50,GRANT,53,NA,NA,0,NA,CORN,TOTAL,NOT SPECIFIED,"60,570",25.2,NA,NA,NA,NA
CENSUS,2017,YEAR,NA,COUNTY,INDIANA,18,CENTRAL,50,HAMILTON,57,NA,NA,0,NA,CORN,TOTAL,NOT SPECIFIED,"51,617",25.2,NA,NA,NA,NA
CENSUS,2017,YEAR,NA,COUNTY,INDIANA,18,CENTRAL,50,HANCOCK,59,NA,NA,0,NA,CORN,TOTAL,NOT SPECIFIED,"71,657",25.2,NA,NA,NA,NA
CENSUS,2017,YEAR,NA,COUNTY,INDIANA,18,CENTRAL,50,HENDRICKS,63,NA,NA,0,NA,CORN,TOTAL,NOT SPECIFIED,"64,770",25.2,NA,NA,NA,NA
CENSUS,2017,YEAR,NA,COUNTY,INDIANA,18,CENTRAL,50,HOWARD,67,NA,NA,0,NA,CORN,TOTAL,NOT SPECIFIED,"59,882",25.2,NA,NA,NA,NA
CENSUS,2017,YEAR,NA,COUNTY,INDIANA,18,CENTRAL,50,JOHNSON,81,NA,NA,0,NA,CORN,TOTAL,NOT SPECIFIED,"55,115",25.2,NA,NA,"1,241",28.6
CENSUS,2017,YEAR,NA,COUNTY,INDIANA,18,CENTRAL,50,MADISON,95,NA,NA,0,NA,CORN,TOTAL,NOT SPECIFIED,"85,664",25.2,NA,NA,NA,NA
CENSUS,2017,YEAR,NA,COUNTY,INDIANA,18,CENTRAL,50,MARION,97,NA,NA,0,NA,CORN,TOTAL,NOT SPECIFIED,"5,624",25.2,NA,NA,NA,NA
